Title,Price,Number of Buyers,Number of Ratings,Rating,Image Link
Men's Stretchable Casual Pants | Scoop Pocket Chinos | Trousers (Slim Fit),699,M.R.P:,"6,065",3.7 out of 5 stars,https://m.media-amazon.com/images/I/61xKRetXvrL._AC_UL320_.jpg
Men's Cotton Slim Fit Casual Chinos Trousers Stretch,595,M.R.P:,"8,640",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51JzfVixyWL._AC_UL320_.jpg
Men's Slim Fit Track pants,449,100+ bought in past month,"17,861",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61WPZm45LPL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-42-45),549,M.R.P:,82,4.9 out of 5 stars,https://m.media-amazon.com/images/I/61Po+kPFixL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-30-33),599,M.R.P:,270,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61g3bHDQAPL._AC_UL320_.jpg
Trouser Pant for Men | Track Pant for Men Loose Fit | Sports Track Pant for Men | Track Pant Men | Men Stylish Track Pant,379,1K+ bought in past month,252,3.9 out of 5 stars,https://m.media-amazon.com/images/I/51q+2tyUemL._AC_UL320_.jpg
Track Pant for Men (GL-TP-1017-M-BLACK),379,50+ bought in past month,3,5.0 out of 5 stars,https://m.media-amazon.com/images/I/61YUpMgZ+nL._AC_UL320_.jpg
"Men's Cotton Shorts Boxers, Pack of 5 - Multicolor",452,100+ bought in past month,"4,901",3.1 out of 5 stars,https://m.media-amazon.com/images/I/61-SdlvedhL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-01-04),499,700+ bought in past month,"6,908",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51NSC2qvOxL._AC_UL320_.jpg
"Cotton Printed Track Pant for Boys and Girls - Cuffed Angle and Loose Fit Pants for Girls, Pack of 5",589,M.R.P:,"2,162",4.0 out of 5 stars,https://m.media-amazon.com/images/I/616dp2FJPkL._AC_UL320_.jpg
Boy's Regular Fit Track Pants,429,M.R.P:,313,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71BAmkkfg-L._AC_UL320_.jpg
Stretchable Formal Pants for Plus Size Men | Stylish Slim Fit Luxury PV Lycra Men's Wear Trousers for Office or Party | Mens Fashion Dress Trouser Pant,"1,599",M.R.P:,47,3.9 out of 5 stars,https://m.media-amazon.com/images/I/71+gdHRSEAL._AC_UL320_.jpg
Cotton Pajama Pants with All Over Print for Boys and Girls (Multicolor Designs)(Regular Fit)(Pack of 5),649,50+ bought in past month,"14,506",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41ktvpZIZeL._AC_UL320_.jpg
"Men Combo Track Pant with Lycra Elastic Jogger Suitable for Active Wear, Jogger Yoga Wear, Sports (Pack of 2)",379,50+ bought in past month,896,3.8 out of 5 stars,https://m.media-amazon.com/images/I/41MoTfPGm4L._AC_UL320_.jpg
Trouser Pant for Men | Track Pant for Men Loose Fit | Sports Track Pant for Men | Track Pant Men | Men Stylish Track Pant,399,300+ bought in past month,252,3.9 out of 5 stars,https://m.media-amazon.com/images/I/51q+2tyUemL._AC_UL320_.jpg
Men's Solid Super Slim Fit Front Knit Trouser,"1,099",100+ bought in past month,222,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61OZ6kPXbzL._AC_UL320_.jpg
Men Regular Fit Pants,349,100+ bought in past month,824,3.7 out of 5 stars,https://m.media-amazon.com/images/I/51i6EbpulvL._AC_UL320_.jpg
Women Casual Slanted Pocket Elastic Waist Tapered Pants,369,M.R.P:,75,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61kCNbuj7uL._AC_UL320_.jpg
"Polyester Men's Joggers Regular Fit Stretchable Gym, Sports & Yoga Wear | Joggers for Men | Track Pant for Men",249,M.R.P:,93,3.3 out of 5 stars,https://m.media-amazon.com/images/I/61wafn3oJBL._AC_UL320_.jpg
Girls Regular Fit Track Pants,250,50+ bought in past month,"1,496",4.1 out of 5 stars,https://m.media-amazon.com/images/I/719Im1Y1OXL._AC_UL320_.jpg
Dry Fit Men's Athletic Track Pant with Zipper Pockets,379,M.R.P:,12,4.8 out of 5 stars,https://m.media-amazon.com/images/I/71LsCj3AjVL._AC_UL320_.jpg
Solid Women's Relaxed Fit Wide Legs Track Pant,548,100+ bought in past month,105,4.0 out of 5 stars,https://m.media-amazon.com/images/I/81xqz4Hc60L._AC_UL320_.jpg
"Mens Baggy fit Jogger/Sweatpants/Gym Gear, Trouser, Loose Home Relaxed Pants",499,50+ bought in past month,5,4.3 out of 5 stars,https://m.media-amazon.com/images/I/514AIl3CzHL._AC_UL320_.jpg
Men's Slim Casual Pants,799,M.R.P:,"4,749",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61oMuIaIVwL._AC_UL320_.jpg
Women's & Girls' High Waist Korean Baggy Loose Loose Pants,573,50+ bought in past month,"1,438",3.2 out of 5 stars,https://m.media-amazon.com/images/I/61CiZ90um9L._AC_UL320_.jpg
Men Cargo Pants,369,M.R.P:,231,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71ueMkgx7KL._AC_UL320_.jpg
Men's Slim Work Utility Pants,899,50+ bought in past month,68,3.3 out of 5 stars,https://m.media-amazon.com/images/I/51td7vvLcJL._AC_UL320_.jpg
"Men Combo Track Pant with Lycra Elastic Jogger Suitable for Active Wear, Jogger Yoga Wear, Sports (Pack of 2)",379,200+ bought in past month,896,3.8 out of 5 stars,https://m.media-amazon.com/images/I/41tC6RU26KL._AC_UL320_.jpg
Track Pant for Men | Trouser Pant for Men | Track Pant for Men Loose Fit | Sports Track Pant for Men | Track Pant Men | Men Stylish Track Pant,339,M.R.P:,71,4.7 out of 5 stars,https://m.media-amazon.com/images/I/51LrecDSvJL._AC_UL320_.jpg
Women's Solid Stretch Waffle Straight Pants,579,100+ bought in past month,141,4.3 out of 5 stars,https://m.media-amazon.com/images/I/81ox4uUvXjL._AC_UL320_.jpg
Cargo for Men | Men Cargo Pants | Men Cargo Pants Cotton | Men Cargo | Trousers for Men | Baggy Cargo Pants for Men | Cargos for Men,529,M.R.P:,21,4.6 out of 5 stars,https://m.media-amazon.com/images/I/513NE7uopyL._AC_UL320_.jpg
